"Exp","Site","Hole","Core","Type","Sect","A/W","Offset (cm)","Depth CSF-A (m)","Depth CSF-B (m)","Vane shear strength (kN/m^2)","Max torque angle (deg)","Penetration direction","Vane rotation rate (deg/s)","Timestamp (UTC)","Instrument","Text ID","Test No.","Comments","Prefix","Principal","Suffix","Full Lithology","Simplified Lithology","Lithology Type","Degree of Consolidation","Lithology Subtype","Expanded Core Type","Latitude (DD)","Longitude (DD)","Water Depth (mbsl)"
334,"U1378","B",1,"H","2","W",81,2.31,2.284,10.489,17,"X","1","2011-04-05 06:12:10","AVS","SHLF3068171",23812601,"","","silty clay","","silty clay","clay","sedimentary","unconsolidated","clastic","APC",8.59234666666667,-84.0773583333333,"521.86"
334,"U1378","B",1,"H","3","W",94,3.94,3.896,57.107,13,"X","1","2011-04-05 06:18:09","AVS","SHLF3068201",23814491,"","","silty clay","","silty clay","clay","sedimentary","unconsolidated","clastic","APC",8.59234666666667,-84.0773583333333,"521.86"
334,"U1378","B",10,"H","4","W",70,86.42,86.42,55.942,16,"X","1","2011-04-05 06:19:47","AVS","SHLF3076721",23814961,"","","silty clay","","silty clay","clay","sedimentary","unconsolidated","clastic","APC",8.59234666666667,-84.0773583333333,"521.86"
334,"U1378","B",12,"H","3","W",59,99.04,99.01,140.32,12,"X","1","2011-04-05 06:19:52","AVS","SHLF3079081",23814981,"","","silty clay","","silty clay","clay","sedimentary","unconsolidated","clastic","APC",8.59234666666667,-84.0773583333333,"521.86"
334,"U1378","B",13,"H","4","W",70,107.2,107.173,120.274,16,"X","1","2011-04-05 06:20:09","AVS","SHLF3081371",23815061,"","","silty clay","","silty clay","clay","sedimentary","unconsolidated","clastic","APC",8.59234666666667,-84.0773583333333,"521.86"
334,"U1378","B",14,"H","4","W",64,114.85,114.825,77.153,18,"X","1","2011-04-05 06:20:14","AVS","SHLF3082411",23815101,"","","silty clay","","silty clay","clay","sedimentary","unconsolidated","clastic","APC",8.59234666666667,-84.0773583333333,"521.86"
334,"U1378","B",15,"H","3","W",60,119.25,119.237,111.417,24,"X","1","2011-04-05 06:20:30","AVS","SHLF3083611",23815161,"","","clay","","clay","clay","sedimentary","unconsolidated","clastic","APC",8.59234666666667,-84.0773583333333,"521.86"
334,"U1378","B",16,"H","3","W",91,124.36,124.345,154.306,12,"X","1","2011-04-05 06:20:34","AVS","SHLF3084451",23815181,"","","silty clay","","silty clay","clay","sedimentary","unconsolidated","clastic","APC",8.59234666666667,-84.0773583333333,"521.86"
334,"U1378","B",17,"X","2","W",55,129.85,129.186,42.655,13,"X","1","2011-04-05 06:20:46","AVS","SHLF3085871",23815221,"","","silty clay","","silty clay","clay","sedimentary","unconsolidated","clastic","XCB",8.59234666666667,-84.0773583333333,"521.86"
334,"U1378","B",18,"X","3","W",104,136.24,136.24,96.965,11,"X","1","2011-04-05 06:20:49","AVS","SHLF3086611",23815241,"","","silty clay","","silty clay","clay","sedimentary","unconsolidated","clastic","XCB",8.59234666666667,-84.0773583333333,"521.86"
334,"U1378","B",19,"X","2","W",32,143.66,143.649,73.423,24,"X","1","2011-04-05 06:20:59","AVS","SHLF3088001",23815281,"","","silty clay","","silty clay","clay","sedimentary","unconsolidated","clastic","XCB",8.59234666666667,-84.0773583333333,"521.86"
334,"U1378","B",2,"H","2","W",99,7.79,7.687,16.549,13,"X","1","2011-04-05 06:18:26","AVS","SHLF3068931",23814571,"","","silty clay","","silty clay","clay","sedimentary","unconsolidated","clastic","APC",8.59234666666667,-84.0773583333333,"521.86"
334,"U1378","B",2,"H","3","W",95,9.25,9.087,20.745,17,"X","1","2011-04-05 06:18:28","AVS","SHLF3068961",23814591,"","sandy","silty clay","","sandy silty clay","clay","sedimentary","unconsolidated","clastic","APC",8.59234666666667,-84.0773583333333,"521.86"
334,"U1378","B",20,"X","7","W",133,161.3,161.057,77.153,13,"X","1","2011-04-05 06:21:03","AVS","SHLF3090221",23815301,"","","silty clay","","silty clay","clay","sedimentary","unconsolidated","clastic","XCB",8.59234666666667,-84.0773583333333,"521.86"
334,"U1378","B",21,"X","3","W",7,163.53,163.5,28.67,16,"X","1","2011-04-05 06:21:18","AVS","SHLF3090521",23815351,"","","silty clay","","silty clay","clay","sedimentary","unconsolidated","clastic","XCB",8.59234666666667,-84.0773583333333,"521.86"
334,"U1378","B",4,"H","6","W",91,31.82,31.189,31.001,15,"X","1","2011-04-05 06:18:44","AVS","SHLF3070691",23814661,"","sandy","silty clay","","sandy silty clay","clay","sedimentary","unconsolidated","clastic","APC",8.59234666666667,-84.0773583333333,"521.86"
334,"U1378","B",5,"H","4","W",136,39.66,39.356,50.347,12,"X","1","2011-04-05 06:18:46","AVS","SHLF3071541",23814691,"","sandy","silty clay","","sandy silty clay","clay","sedimentary","unconsolidated","clastic","APC",8.59234666666667,-84.0773583333333,"521.86"
334,"U1378","B",6,"H","2","W",81,45.61,45.61,31.933,26,"X","1","2011-04-05 06:18:57","AVS","SHLF3072281",23814761,"","","sandy clay","","sandy clay","clay","sedimentary","unconsolidated","clastic","APC",8.59234666666667,-84.0773583333333,"521.86"
334,"U1378","B",7,"H","3","W",20,56,56,59.904,12,"X","1","2011-04-05 06:19:03","AVS","SHLF3073181",23814791,"","","silty clay","","silty clay","clay","sedimentary","unconsolidated","clastic","APC",8.59234666666667,-84.0773583333333,"521.86"
334,"U1378","B",8,"H","3","W",96,64.9,64.9,66.431,11,"X","1","2011-04-05 06:19:21","AVS","SHLF3074301",23814871,"","","clay","","clay","clay","sedimentary","unconsolidated","clastic","APC",8.59234666666667,-84.0773583333333,"521.86"
334,"U1378","B",9,"H","3","W",112,75.92,75.815,47.783,13,"X","1","2011-04-05 06:19:26","AVS","SHLF3074921",23814891,"","","silty clay","","silty clay","clay","sedimentary","unconsolidated","clastic","APC",8.59234666666667,-84.0773583333333,"521.86"
334,"U1379","C",1,"H","2","W",85,2.35,2.35,28.437,26,"X","1","2011-03-27 21:07:57","AVS","SHLF2937671",23080291,"","","silty clay","","silty clay","clay","sedimentary","unconsolidated","clastic","APC",8.68100833333333,-84.03379,"128.36"
334,"U1379","C",1,"H","3","W",130,4.3,4.3,34.264,10,"X","1","2011-03-27 21:08:00","AVS","SHLF2937701",23080301,"","","silty clay","","silty clay","clay","sedimentary","unconsolidated","clastic","APC",8.68100833333333,-84.03379,"128.36"
334,"U1379","C",1,"H","3","W",130,4.3,4.3,34.497,11,"X","1","2011-04-05 06:21:37","AVS","SHLF2937701",23815411,"","","silty clay","","silty clay","clay","sedimentary","unconsolidated","clastic","APC",8.68100833333333,-84.03379,"128.36"
334,"U1379","C",1,"H","4","W",89,5.39,5.39,26.805,19,"X","1","2011-03-27 21:08:02","AVS","SHLF2937731",23080311,"","","silty clay","","silty clay","clay","sedimentary","unconsolidated","clastic","APC",8.68100833333333,-84.03379,"128.36"
334,"U1379","C",12,"H","2","W",92,70.12,70.096,31.234,17,"X","1","2011-04-05 06:23:18","AVS","SHLF2946201",23815701,"","","clayey silt","","clayey silt","silt","sedimentary","unconsolidated","clastic","APC",8.68100833333333,-84.03379,"128.36"
334,"U1379","C",14,"H","2","W",108,81.28,81.275,152.441,12,"X","1","2011-04-05 06:23:35","AVS","SHLF2948421",23815731,"","","clayey silt","","clayey silt","silt","sedimentary","unconsolidated","clastic","APC",8.68100833333333,-84.03379,"128.36"
